what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299785891566
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299785895324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1299785899667
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1299785901687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299785901797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299785914687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299785921650
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1299785922000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299785922016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299785922751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299785924157
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1299785934093
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1299785937245
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299785959127
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299785960916
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1299785976971
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1299785977010
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1299785995753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1299786045821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786045844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786069290
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1299786078693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786078714
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1299786083422
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786086300
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786131216
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299786131280
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1299786131637
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299786131739
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1299786134000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786157791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786167953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299786173852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299786177491
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786178582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786181570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786183972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786185227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1299786190196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299786192124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786194956
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1299786195359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786195383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786196056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299786201222
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1299786205279
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299786205466
