what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871805420
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871809186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871819221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871820374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871822582
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871823701
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871855177
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299871868751
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299871868779
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299871880042
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299871880160
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1299871880186
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1299871886017
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299871901066
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1299871901163
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299871902669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871912374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871914289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871915334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299871946065
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1299871957869
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1299871958003
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1299871958008
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299871966564
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1299871966564
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1299871975818
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1299871975951
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1299871975954
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299871978227
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1299871978228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299872000171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299872018744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299872034974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299872051791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299872065071
